website_SKU,SKU,name,orderedQuantity,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude
,GGADFBSBKS42347,PC gaming speakers,0,100,1,,
,GGOBJGOWUSG69402,USB wired soundbar - in store only,10,15,2,1.0,1.0
