fullVisitorId,date,products_viewed,distinct_products_viewed,pages_viewed,distinct_pages_viewed
5710379250208908569,20170731,"[Google Snapback Hat Black,Google Women's Lightweight Microfleece Jacket]",2,"[Google Snapback Hat Black,Google RFID Journal]",2
5710379250208908569,20170801,"[Android Sticker Sheet Ultra Removable,Android Hard Cover Journal,Suitcase Organizer Cubes,Google Flashlight,Windup Android,Compact Selfie Stick,Google Sunglasses,Recycled Mouse Pad,8 pc Android Sticker Sheet,Google Doodle Decal,Google 5-Panel Cap,Electronics Accessory Pouch,Google 2200mAh Micro Charger,Android Rise 14 oz Mug,Google Men's 100% Cotton Short Sleeve Hero Tee White,Google Bib White,Keyboard DOT Sticker,Android RFID Journal,YouTube Twill Cap,Galaxy Screen Cleaning Cloth,Android Wool Heather Cap Heather/Black,Google 5-Panel Snapback Cap,Google Blackout Cap,Android 17oz Stainless Steel Sport Bottle,Google Device Holder Sticky Pad,Badge Holder,Four Color Retractable Pen,Google Car Clip Phone Holder,Google Twill Cap,Google Kick Ball,SPF-15 Slim & Slender Lip Balm,Basecamp Explorer Powerbank Flashlight,Gunmetal Roller Ball Pen,Maze Pen,Waze Dress Socks,Plastic Sliding Flashlight,1 oz Hand Sanitizer,Switch Tone Color Crayon Pen,Metal Texture Roller Pen,Ballpoint Stylus Pen,Android Luggage Tag,Rubber Grip Ballpoint Pen 4 Pack,Seat Pack Organizer,YouTube Custom Decals,Google Snapback Hat Black,Android Lunch Kit,Google Device Stand,Rocket Flashlight,22 oz Android Bottle,Google Laptop and Cell Phone Stickers,Google Stylus Pen w/ LED Light,Google Luggage Tag,Android Twill Cap,Waze Pack of 9 Decal Set,Ballpoint LED Light Pen,Google 4400mAh Power Bank,Colored Pencil Set,Micro Wireless Earbud,Pen Pencil & Highlighter Set,Google Bib Red,Satin Black Ballpoint Pen]",61,"[Office | Google Merchandise Store,Accessories | Google Merchandise Store,Writing Instruments | Office | Google Merchandise Store,Electronics | Google Merchandise Store,Apparel | Google Merchandise Store,Shop by Brand | Google Merchandise Store,Fun | Accessories | Google Merchandise Store,Other | Office | Google Merchandise Store]",8
